Student ID,Hours
758,1.16
7144,1.72
<Unlisted>,1.8200000000000003
6123,2.08
9816,2.41
2150,2.46
9102,2.8
0123,3.94
9949,4.54
7006,4.81
2297,5.47
7024,8.0
7108,9.24
8311,9.33
9330,9.72
6502,12.04
0552,13.41
2974,13.44
6171,19.36
7127,22.53
2524,29.85
4629,33.26
7007,33.67
3077,33.85
3974,34.89
0500,35.22
6122,36.0
0644,43.25
8313,46.64
0461,48.18
9716,49.44
8675,50.15
5255,52.18
9645,53.72
6099,56.13
8223,56.64
9824,62.42
3353,63.61
4047,65.56
8314,66.77
4857,68.12
8544,71.28
2194,73.66
6582,74.52
1344,74.56
1448,78.93
3350,89.88
0128,90.17
8419,101.34
1269,118.22
7081,128.25
<Total Hours>,2070.0
