Student ID,Hours
758,1.16
8325,1.32
9308,1.46
6248,1.51
7144,1.72
8321,1.8
4919,1.89
8177,1.94
6123,2.08
0034,2.12
4181,2.13
0027,2.24
4657,2.26
5639,2.33
6152,3.41
6398,3.49
6399,3.5
2108,3.61
<Unlisted>,3.7899999999999987
8389,4.2
6999,4.32
2347,4.54
1097,5.84
237,6.22
7006,6.66
7024,8.0
9102,8.09
7363,8.16
2150,8.48
7108,9.24
7900,11.21
0219,13.06
8530,13.12
2991,13.46
3033,14.03
3122,16.19
1025,17.76
8503,18.39
2688,19.13
6502,19.33
2297,21.25
7127,22.53
3077,23.83
6171,24.97
2974,31.85
7007,34.94
0500,35.24
4629,35.76
0552,39.6
0123,40.47
6122,41.01
9330,41.77
8675,44.26
9716,45.41
1344,47.53
9949,47.95
0461,50.1
8313,53.02
8311,54.78
8223,55.72
0644,58.56
2524,60.04
3353,61.61
3974,62.79
5255,69.08
4047,75.88
6099,76.48
9824,80.21
1448,83.47
8314,86.75
4857,89.2
3350,91.63
8544,93.78
6582,95.49
9645,98.25
2194,104.5
1269,106.1
0128,109.33
8419,138.62
7081,144.31
<Total Hours>,2851.0
