Student ID,Hours
758,1.16
8325,1.32
9308,1.46
6248,1.51
7144,1.72
8321,1.8
4919,1.89
8177,1.94
6123,2.08
0034,2.12
4181,2.13
0027,2.24
4657,2.26
5639,2.33
6152,3.41
6398,3.49
6399,3.5
2108,3.61
<Unlisted>,3.7899999999999987
8389,4.2
6999,4.32
2347,4.54
6122,5.01
1097,5.84
237,6.22
7006,6.66
7024,8.0
9102,8.09
7363,8.16
2150,8.48
7108,9.24
7900,11.21
0219,13.06
8530,13.12
2991,13.46
3033,14.03
3122,16.19
1025,17.76
8503,18.39
2688,19.13
6502,19.13
2297,21.25
7127,22.53
3077,23.83
6171,24.97
7007,28.44
2974,29.81
0500,35.24
4629,35.76
0552,38.25
0123,40.47
9330,41.77
9716,43.27
8675,44.26
8311,45.45
1344,47.53
9949,47.95
0461,48.72
8313,53.02
8223,53.22
2524,58.14
0644,58.56
3353,61.61
5255,62.33
3974,62.79
4047,72.93
6099,76.48
9824,78.71
1448,83.47
4857,85.59
8314,86.75
3350,91.63
6582,93.57
8544,93.78
9645,98.25
1269,101.6
2194,102.37
0128,109.33
8419,136.78
7081,144.31
<Total Hours>,2762.0
